ISIN,COMPANY,NSE_SYMBOL,BSE_SYMBOL,BSE_CODE,EXCHANGE,PRICE_SOURCE,PRICE_TICKER,LATEST_PRICE,PRICE_DATE,NSE_LISTING_DATE,BSE_LISTING_DATE
INE258B01022,FDC Limited,FDC,FDC,531599,NSE+BSE,NSE/Yahoo Finance,FDC.NS,,,07-AUG-1997,
INE451A01017,FORCE MOTORS LTD,FORCEMOT,FORCEMOT,500033,NSE+BSE,NSE/Yahoo Finance,FORCEMOT.NS,,,14-FEB-2024,
INE388Y01029,FSN E-Commerce Ventures Limited,NYKAA,NYKAA#,143384,NSE+BSE,NSE/Yahoo Finance,NYKAA.NS,,,10-NOV-2021,
INE0HF201011,Fabtech Technologies Limited,FABTECH,FABTECH,544558,NSE+BSE,NSE/Yahoo Finance,FABTECH.NS,,,07-OCT-2025,
INE0DNW01011,Fairchem Organics Limited,FAIRCHEMOR,FAIRCHEMOR,543252,NSE+BSE,NSE/Yahoo Finance,FAIRCHEMOR.NS,,,24-DEC-2020,
INE963C01033,Faze Three Limited,FAZE3Q,FAZE3Q,530079,NSE+BSE,NSE/Yahoo Finance,FAZE3Q.NS,,,18-NOV-2022,
INE007N01010,Fedbank Financial Services Limited,FEDFINA,FEDFINA,544027,NSE+BSE,NSE/Yahoo Finance,FEDFINA.NS,,,30-NOV-2023,
INE417D01020,Fedders Holding Limited,FEDDERSHOL,FEDDERSHOL,511628,NSE+BSE,NSE/Yahoo Finance,FEDDERSHOL.NS,,,20-APR-2026,
INE529A01010,Federal-Mogul Goetze (India) Limited.,FMGOETZE,FMGOETZE,505744,NSE+BSE,NSE/Yahoo Finance,FMGOETZE.NS,,,08-FEB-1995,
INE225B01021,Fermenta Biotech Limited,FERMENTA,FERMENTA,506414,NSE+BSE,NSE/Yahoo Finance,FERMENTA.NS,,,04-AUG-2026,
INE188A01015,Fertilizers and Chemicals Travancore Limited,FACT,FACT,590024,NSE+BSE,NSE/Yahoo Finance,FACT.NS,,,12-APR-1995,
INE296C01020,Fiberweb (India) Limited,FIBERWEB,FIBERWEB,507910,NSE+BSE,NSE/Yahoo Finance,FIBERWEB.NS,,,16-FEB-2022,
INE737H01014,Fiem Industries Limited,FIEMIND,FIEMIND,532768,NSE+BSE,NSE/Yahoo Finance,FIEMIND.NS,,,19-OCT-2006,
INE185E01021,Filatex Fashions Limited,FILATFASH,FILATFASH,532022,NSE+BSE,NSE/Yahoo Finance,FILATFASH.NS,,,06-MAY-2024,
INE816B01035,Filatex India Limited,FILATEX,FILATEX,526227,NSE+BSE,NSE/Yahoo Finance,FILATEX.NS,,,29-AUG-2011,
